tipo-vinho,uva-vinho,estilo-vinho,caracteristica-vinho,caracteristica-vinho-2,caracteristica-vinho-3,caracteristica-vinho-4,tipo-queijo,familia-queijo,textura-queijo,sabor-queijo-1,sabor-queijo-2,sabor-queijo-3,sabor-queijo-4,tipo-combinacao,sigla-combinacao,detalhes
Tinto,Cabernet Sauvignon,Encorpado,Taninos firmes,frutas negras,especiarias,,Azul,Azul,"Cremosa, esfarelante",Intenso,salgado,picante,veias azuis,Complementariedade,C,O queijo azul intensifica os sabores complexos do vinho tinto encorpado.
Tinto,Cabernet Sauvignon,Encorpado,Taninos firmes,frutas negras,especiarias,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,O Gouda suave e levemente salgado combina com os taninos e frutas negras do vinho.
Tinto,Cabernet Sauvignon,Encorpado,Taninos firmes,frutas negras,especiarias,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola complementa o vinho com seu sabor intenso e picante.
Tinto,Cabernet Sauvignon,Encorpado,Taninos firmes,frutas negras,especiarias,,Pecorino,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Pecorino destaca os sabores do vinho com sua textura granulada e sabor intenso.
Tinto,Cabernet Sauvignon,Encorpado,Taninos firmes,frutas negras,especiarias,,Parmesão,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Parmesão acentua o perfil do vinho com sua textura granulada e sabor salgado.
Tinto,Merlot,Corpo Médio,Frutas negras,taninos suaves,corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.
Tinto,Merlot,Corpo Médio,Frutas negras,taninos suaves,corpo redondo,,Azul,Azul,"Cremosa, esfarelante",Intenso,salgado,picante,veias azuis,Contraste,Cr,O contraste entre o vinho suave e o queijo azul intenso pode destacar ambos.
Tinto,Merlot,Corpo Médio,Frutas negras,taninos suaves,corpo redondo,,Gruyère,Semi-dura,"Firme, macia",Leitoso,frutado,levemente picante,complexo,Complementariedade,C,Gruyère harmoniza com o Merlot ao equilibrar o frutado e o corpo do vinho.
Tinto,Merlot,Corpo Médio,Frutas negras,taninos suaves,corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.
Tinto,Pinot Noir,Leve a Médio,Frutas vermelhas,floral,taninos suaves,,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,A cremosidade do Brie combina bem com os taninos suaves e o perfil frutado do Pinot Noir.
Tinto,Pinot Noir,Leve a Médio,Frutas vermelhas,floral,taninos suaves,,Camembert,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Camembert e Pinot Noir harmonizam pela textura cremosa e o sabor leve.
Tinto,Pinot Noir,Leve a Médio,Frutas vermelhas,floral,taninos suaves,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Contraste,Cr,A combinação de Gouda e Pinot Noir pode criar um interessante contraste de sabores.
Tinto,Shiraz,Encorpado,Frutas negras,especiarias,taninos robustos,,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,O queijo azul complementa o caráter robusto e especiado do Syrah/Shiraz.
Tinto,Shiraz,Encorpado,Frutas negras,especiarias,taninos robustos,,Cheddar,Dura,"Firme, quebradiça",Salgado,levemente ácido,frutado,,Contraste,Cr,O Cheddar acrescenta um contraste interessante com o vinho robusto e especiado.
Tinto,Malbec,Encorpado,Frutas negras,especiarias,taninos firmes,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola e Malbec oferecem uma combinação intensa e complexa de sabores.
Tinto,Malbec,Encorpado,Frutas negras,especiarias,taninos firmes,,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Roquefort realça a intensidade e complexidade do Malbec.
Tinto,Malbec,Encorpado,Frutas negras,especiarias,taninos firmes,,Pecorino,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Pecorino e Malbec combinam devido à textura e ao sabor intenso do queijo.
Tinto,Malbec,Encorpado,Frutas negras,especiarias,taninos firmes,,Parmesão,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Parmesão combina com Malbec pelo seu sabor forte e textura granulada.
Tinto,Carménère,Médio a Encorpado,Frutas vermelhas,especiarias,vegetal,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Carménère harmonizam devido à suavidade e ao caráter frutado do vinho.
Tinto,Carménère,Médio a Encorpado,Frutas vermelhas,especiarias,vegetal,,Emmental,Semi-dura,"Firme, macia",Leitoso,levemente frutado,levemente adocicado,,Complementariedade,C,Emmental complementa o vinho com sua textura e sabor frutado e suave.
Tinto,Tempranillo,Encorpado,Frutas vermelhas,especiarias,taninos maduros,,Pecorino,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Pecorino destaca o sabor complexo do Tempranillo com sua textura e intensidade.
Tinto,Tempranillo,Encorpado,Frutas vermelhas,especiarias,taninos maduros,,Parmesão,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Parmesão e Tempranillo combinam devido à intensidade e complexidade de ambos.
Rosé,Merlot,Corpo Médio,Frutas vermelhas,taninos suaves,corpo redondo,,Pecorino,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Contraste,Cr,Pecorino é intenso e salgado contrastando com as frutas vermelhas e taninos suaves do Merlot.
Rosé,Merlot,Corpo Médio,Frutas vermelhas,taninos suaves,corpo redondo,,Parmesão,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Contraste,Cr,Parmesão tem um sabor intenso e salgado que contrasta com o perfil frutado e suave do Merlot.
Rosé,Merlot,Corpo Médio,Frutas vermelhas,taninos suaves,corpo redondo,,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie é suave e cremoso combinando bem com as frutas vermelhas e taninos suaves do Merlot.
Rosé,Merlot,Corpo Médio,Frutas vermelhas,taninos suaves,corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda complementa o Merlot com sua textura macia e sabores leitosos e levemente salgados.
Rosé,Malbec,Médio a Encorpado,Frutas vermelhas e negras,especiarias,taninos firmes,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola combina com o Malbec por sua intensidade e picância realçando os sabores do vinho.
Rosé,Malbec,Médio a Encorpado,Frutas vermelhas e negras,especiarias,taninos firmes,,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Roquefort e Malbec combinam por sua intensidade e complexidade de sabores.
Rosé,Grenache,Leve a Médio,Frutas vermelhas,corpo médio,taninos suaves,,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Rosé combinam pela suavidade e frescor de ambos.
Rosé,Grenache,Leve a Médio,Frutas vermelhas,corpo médio,taninos suaves,,Mozzarella,Fresco,"Elástica, macia",Suave,lácteo,levemente salgado,,Complementariedade,C,Mozzarella e Rosé harmonizam pela leveza e frescor dos dois.
Rosé,Grenache,Leve a Médio,Frutas vermelhas,corpo médio,taninos suaves,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda combina com Grenache pela textura e perfil suave criando uma harmonia entre os sabores.
Rosé,Shiraz,Médio,Frutas vermelhas e negras,especiarias,corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Syrah/Shiraz se complementam pela textura e sabores ricos e aveludados.
Rosé,Shiraz,Médio,Frutas vermelhas e negras,especiarias,corpo médio,,Emmental,Semi-dura,"Firme, macia",Leitoso,levemente frutado,levemente adocicado,,Complementariedade,C,Emmental e Syrah/Shiraz harmonizam com a textura firme e sabores levemente frutados.
Rosé,Shiraz,Médio,Frutas vermelhas e negras,especiarias,corpo médio,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Gorgonzola oferece um contraste forte com Syrah/Shiraz pela sua intensidade e picância.
Rosé,Mourvèdre,Médio,Frutas negras,especiarias,taninos robustos,corpo médio,Comté,Dura,"Granulada, dura",Intenso,frutado,levemente picante,,Complementariedade,C,Comté e Mourvèdre combinam bem pela intensidade e complexidade dos sabores.
Rosé,Mourvèdre,Médio,Frutas negras,especiarias,taninos robustos,corpo médio,Manchego,Dura,Quebradiça,Intenso,salgado,aveludado,nozes,Complementariedade,C,Manchego e Mourvèdre se complementam pela textura quebradiça e os sabores intensos e salgados.
Rosé,Cinsault,Leve,Frutas vermelhas,acidez alta,taninos leves,corpo leve,Mozzarella,Fresco,"Elástica, macia",Suave,lácteo,levemente salgado,,Complementariedade,C,Mozzarella e Cinsault harmonizam pela leveza e frescor complementando os sabores sutis do vinho.
Rosé,Cinsault,Leve,Frutas vermelhas,acidez alta,taninos leves,corpo leve,Ricota,Fresco,"Macia, granulosa",Suave,levemente doce,fresca,,Complementariedade,C,Ricota combina com Cinsault pela suavidade e frescor harmonizando os sabores delicados.
Rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras,taninos maduros,corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Tempranillo combinam com a textura e os sabores ricos e levemente salgados do queijo.
Rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras,taninos maduros,corpo médio,,Manchego,Dura,Quebradiça,Intenso,salgado,aveludado,nozes,Complementariedade,C,Manchego e Tempranillo se complementam pela textura quebradiça e os sabores intensos e salgados.
Rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras,taninos maduros,corpo médio,,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Roquefort e Tempranillo oferecem um contraste entre a intensidade picante do queijo e o perfil frutado do vinho.
Rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras,taninos maduros,corpo médio,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Gorgonzola oferece um contraste robusto com o Tempranillo pela sua intensidade e picância.
Rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras,taninos maduros,corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Tempranillo combinam com a textura e os sabores ricos e levemente salgados do queijo.
Rosé,Tempranillo,Leve a Médio,Frutas vermelhas e negras,taninos maduros,corpo médio,,Emmental,Semi-dura,"Firme, macia",Leitoso,levemente frutado,levemente adocicado,,Complementariedade,C,Emmental e Rosé com Tempranillo se harmonizam bem com a leveza e frescor do vinho equilibrando a textura firme e o sabor levemente adocicado do queijo.
Rosé,Sangiovese,Leve a Médio,Frutas vermelhas ácidas,taninos elegantes,corpo médio,,Manchego,Dura,Quebradiça,Intenso,salgado,aveludado,nozes,Complementariedade,C,Manchego e Sangiovese combinam pela textura e sabores intensos complementando os taninos do vinho.
Rosé,Sangiovese,Leve a Médio,Frutas vermelhas ácidas,taninos elegantes,corpo médio,,Pecorino,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Complementariedade,C,Pecorino e Sangiovese se complementam pela intensidade e complexidade de sabores com o queijo contrastando com o perfil ácido do vinho.
Rosé,Sangiovese,Leve a Médio,Frutas vermelhas ácidas,taninos elegantes,corpo médio,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Sangiovese combinam pela suavidade e textura harmonizando os sabores frutados e ácidos do vinho.
Rosé,Pinot Noir,Leve,Frutas vermelhas,floral,taninos suaves,corpo leve,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Pinot Noir se complementam pela textura e suavidade dos sabores harmonizando a leveza do vinho.
Rosé,Pinot Noir,Leve,Frutas vermelhas,floral,taninos suaves,corpo leve,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Roquefort e Pinot Noir contrastam pela intensidade do queijo e a leveza do vinho criando um equilíbrio interessante.
Rosé,Pinot Noir,Leve,Frutas vermelhas,floral,taninos suaves,corpo leve,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Gorgonzola e Pinot Noir oferecem um contraste entre a intensidade do queijo e o perfil leve do vinho.
Porto,Touriga Nacional,Encorpado,Taninos firmes,frutos negros,especiarias,acidez equilibrada,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola e Touriga Nacional se complementam pela intensidade e especiarias criando uma harmonia robusta.
Porto,Touriga Nacional,Encorpado,Taninos firmes,frutos negros,especiarias,acidez equilibrada,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Roquefort e Touriga Nacional harmonizam pela intensidade e complexidade dos sabores.
Porto,Touriga Franca,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Touriga Franca combinam pela textura cremosa e o perfil robusto do vinho.
Porto,Touriga Franca,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Camembert,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Camembert e Touriga Franca se complementam pela suavidade do queijo e a robustez do vinho.
Porto,Tempranillo,Médio a Encorpado,Frutas vermelhas e negras,taninos maduros,acidez equilibrada,,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Tinta Roriz/Tempranillo harmonizam bem pela suavidade do queijo e o perfil equilibrado do vinho.
Porto,Tempranillo,Médio a Encorpado,Frutas vermelhas e negras,taninos maduros,acidez equilibrada,,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Tinta Roriz/Tempranillo se complementam com a textura e sabores ricos do queijo.
Porto,Tinta Barroca,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola e Tinta Barroca oferecem uma combinação robusta e intensa de sabores.
Porto,Tinta Barroca,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Roquefort e Tinta Barroca combinam pela intensidade e complexidade criando uma harmonia robusta.
Porto,Tinta Cão,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola e Tinta Cão se harmonizam pela intensidade e complexidade dos sabores.
Porto,Tinta Cão,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Roquefort e Tinta Cão oferecem uma combinação intensa e complexa que se complementa.
Porto,Sousão,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Gorgonzola e Sousão se harmonizam pela intensidade e complexidade de sabores.
Porto,Sousão,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Complementariedade,C,Roquefort e Sousão oferecem uma combinação robusta e complexa equilibrando os sabores.
Porto,Tinta Amarela,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Tinta Amarela se combinam bem pela textura cremosa e o perfil robusto do vinho.
Porto,Tinta Amarela,Encorpado,Taninos firmes,frutos negros,especiarias,corpo robusto,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda e Tinta Amarela se harmonizam com a textura e os sabores ricos e levemente salgados.
Porto,Viosinho,Médio,Frutos brancos,floral,acidez elevada,,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Queijo de Cabra e Viosinho combinam pela leveza e frescor realçando os sabores frutados e florais.
Porto,Malvasia Fina,Médio,Frutos brancos,floral,acidez elevada,,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Cabra e Malvasia Fina harmonizam pela frescura e leveza complementando os sabores florais e frutados.
Porto,Gouveio,Médio,Frutos brancos,mineralidade,acidez elevada,,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Cabra e Gouveio se complementam pela textura cremosa e os sabores frescos e minerais.
Branco,Chardonnay,Corpo Médio,Frutado,amanteigado,complexo,cítrico,Azul,Azul,"Cremosa, esfarelante",Intenso,salgado,picante,veias azuis,Complementariedade,C,O queijo azul realça os sabores complexos e amanteigados do Chardonnay.
Branco,Chardonnay,Corpo Médio,Frutado,amanteigado,complexo,cítrico,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda combina com Chardonnay por seu perfil suave e textura macia.
Branco,Chardonnay,Corpo Médio,Frutado,amanteigado,complexo,cítrico,Comté,Dura,"Granulada, dura",Intenso,frutado,levemente picante,,Complementariedade,C,Comté harmoniza com o Chardonnay devido à textura e complexidade de sabores.
Branco,Chardonnay,Corpo Médio,Frutado,amanteigado,complexo,cítrico,Manchego,Dura,Quebradiça,Intenso,salgado,aveludado,nozes,Complementariedade,C,Manchego e Chardonnay se complementam pela riqueza e intensidade de sabores.
Branco,Sauvignon Blanc,Leve,Cítrico,herbáceo,mineral,refrescante,Feta,Fresco,"Macia, esfarelante",Salgado,levemente ácido,cremoso,,Complementariedade,C,Feta realça as notas cítricas e herbáceas do Sauvignon Blanc.
Branco,Sauvignon Blanc,Leve,Cítrico,herbáceo,mineral,refrescante,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,O Cabra combina com Sauvignon Blanc por sua textura e sabor fresco.
Branco,Riesling,Leve a Médio,Floral,frutado,mineral,versátil,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Cabra e Riesling harmonizam devido à leveza e à acidez que ambos oferecem.
Branco,Riesling,Leve a Médio,Floral,frutado,mineral,versátil,Feta,Fresco,"Macia, esfarelante",Salgado,levemente ácido,cremoso,,Complementariedade,C,Feta e Riesling combinam com suas texturas e sabores leves e frutados.
Branco,Riesling,Leve a Médio,Floral,frutado,mineral,versátil,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Cabra e Riesling harmonizam devido à leveza e à acidez que ambos oferecem.
Branco,Pinot Grigio,Leve,Frutado,floral,leve,mineral,Mozzarella,Fresco,"Elástica, macia",Suave,lácteo,levemente salgado,,Complementariedade,C,Mozzarella e Pinot Grigio se harmonizam por suas características leves e frescas.
Branco,Pinot Grigio,Leve,Frutado,floral,leve,mineral,Ricota,Fresco,"Macia, granulosa",Suave,levemente doce,fresca,,Complementariedade,C,Ricota e Pinot Grigio complementam-se pela textura suave e sabor leve.
Branco,Pinot Grigio,Leve,Frutado,floral,leve,mineral,Camembert,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Camembert e Pinot Grigio combinam devido à textura cremosa e sabores delicados.
Branco,Pinot Grigio,Leve,Frutado,floral,leve,mineral,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Pinot Grigio se harmonizam com sua leveza e suavidade.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Feta,Fresco,"Macia, esfarelante",Salgado,levemente ácido,cremoso,,Complementariedade,C,Chenin Blanc e Feta combinam bem com suas notas frutadas e leves.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Cabra e Chenin Blanc se complementam com a textura cremosa e os sabores frutados.
Branco,Gewürztraminer,Aromático,Especiado,floral,frutado,intenso,Cabra,Fresco,"Cremoso, macio",Levemente ácido,caprino,fresco,,Complementariedade,C,Cabra e Gewürztraminer combinam com a intensidade aromática e os sabores especiados.
Branco,Viognier,Aromático,Floral,pêssego,abacaxi,corpo médio,Camembert,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Camembert e Viognier harmonizam pela textura cremosa e os sabores frutados e florais.
Branco,Viognier,Aromático,Floral,pêssego,abacaxi,corpo médio,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Viognier se complementam pela suavidade do queijo e os sabores frutados e florais do vinho.
Branco,Viognier,Aromático,Floral,pêssego,abacaxi,corpo médio,Emmental,Semi-dura,"Firme, macia",Leitoso,levemente frutado,levemente adocicado,,Complementariedade,C,Emmental e Viognier combinam com a textura e sabores levemente frutados e adocicados.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Complementariedade,C,Gouda combina com Chenin Blanc pelo seu perfil suave e textura macia.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Gorgonzola e Chenin Blanc contrastam pela intensidade do queijo e o perfil frutado e floral do vinho.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Parmesão,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Contraste,Cr,Parmesão e Chenin Blanc criam um contraste interessante entre a textura firme e o perfil floral e frutado.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Cheddar,Dura,"Firme, quebradiça",Salgado,levemente ácido,frutado,,Contraste,Cr,Cheddar e Chenin Blanc contrastam com a textura e os sabores criando uma combinação única.
Branco,Chenin Blanc,Leve a Médio,Frutado,floral,mel,versátil,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Roquefort e Chenin Blanc oferecem um contraste entre a intensidade do queijo e a leveza do vinho.
Branco,Moscato,Doce,Floral,frutas brancas,mel,baixa acidez,Brie,Macio,"Cremosa, macia",Suave,levemente adocicado,,,Complementariedade,C,Brie e Moscato se combinam pela suavidade e a doçura criando uma harmonia leve e adocicada.
Branco,Moscato,Doce,Floral,frutas brancas,mel,baixa acidez,Gouda,Semi-dura,"Firme, macia",Leitoso,levemente salgado,aveludado,,Contraste,Cr,Gouda e Moscato contrastam com a doçura do vinho e a textura mais firme do queijo.
Branco,Albariño,Fresco,Frutos cítricos,mineralidade,corpo leve,,Pecorino,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Contraste,Cr,Pecorino e Albariño oferecem um contraste interessante entre a textura dura e o frescor do vinho.
Branco,Albariño,Fresco,Frutos cítricos,mineralidade,corpo leve,,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Roquefort e Albariño contrastam com a intensidade do queijo e o frescor do vinho.
Branco,Albariño,Fresco,Frutos cítricos,mineralidade,corpo leve,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Gorgonzola e Albariño criam um contraste entre a intensidade do queijo e o frescor do vinho.
Branco,Albariño,Fresco,Frutos cítricos,mineralidade,corpo leve,,Manchego,Dura,Quebradiça,Intenso,salgado,aveludado,nozes,Contraste,Cr,Manchego e Albariño oferecem um contraste entre a textura do queijo e o frescor do vinho.
Branco,Albariño,Fresco,Frutos cítricos,mineralidade,corpo leve,,Parmesão,Dura,"Granulada, dura",Salgado,intenso,frutado,complexo,Contraste,Cr,Parmesão e Albariño criam um contraste entre a textura firme e o perfil fresco do vinho.
Branco,Vermentino,Fresco,Frutos cítricos,floral,salgado,corpo leve,Roquefort,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Roquefort e Vermentino contrastam com a intensidade do queijo e a leveza e frescor do vinho.
Branco,Vermentino,Fresco,Frutos cítricos,floral,salgado,corpo leve,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso,picante,salgado,aroma acentuado,Contraste,Cr,Gorgonzola e Vermentino criam um contraste entre a intensidade do queijo e o frescor do vinho.
Branco,Vermentino,Fresco,Frutos cítricos,floral,salgado,corpo leve,Mozzarella,Fresco,"Elástica, macia",Suave,lácteo,levemente salgado,,Contraste,Cr,Mozzarella e Vermentino contrastam com a leveza do queijo e o perfil fresco do vinho.